"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"105","DESKTOP-QTDVJG2","System.Byte[]","83505","(100)","100","Information","A(z) ?Microsoft-Windows-Kernel-Power? forr?s ?105? esem?nyazonos?t?j?nak le?r?sa nem tal?lhat?. A helyi sz?m?t?g?p nem rendelkezik a megfelel? be?ll?t?sjegyz?kbeli adatokkal vagy az ?zenet megjelen?t?s?hez sz?ks?ges ?zenett?rol? DLL-f?jlokkal, vagy az enged?lyek nem megfelel?ek azok el?r?s?hez. Az esem?nynek r?sze a k?vetkez? inform?ci?:'true', '26995', '32412'","Microsoft-Windows-Kernel-Power","System.String[]","105","2020. 06. 30. 10:48:47","2020. 06. 30. 10:48:47","NT AUTHORITY\SYSTEM",,
"105","DESKTOP-QTDVJG2","System.Byte[]","83504","(100)","100","Information","A(z) ?Microsoft-Windows-Kernel-Power? forr?s ?105? esem?nyazonos?t?j?nak le?r?sa nem tal?lhat?. A helyi sz?m?t?g?p nem rendelkezik a megfelel? be?ll?t?sjegyz?kbeli adatokkal vagy az ?zenet megjelen?t?s?hez sz?ks?ges ?zenett?rol? DLL-f?jlokkal, vagy az enged?lyek nem megfelel?ek azok el?r?s?hez. Az esem?nynek r?sze a k?vetkez? inform?ci?:'false', '26740', '32412'","Microsoft-Windows-Kernel-Power","System.String[]","105","2020. 06. 30. 10:48:45","2020. 06. 30. 10:48:45","NT AUTHORITY\SYSTEM",,
"7040","DESKTOP-QTDVJG2","System.Byte[]","83503","(0)","0","Information","A(z) H?tt?rben fut? intelligens ?tviteli szolg?ltat?s szolg?ltat?s ind?t?si t?pusa Ig?ny szerinti ind?t?s t?pusr?l Automatikus ind?t?s t?pusra v?ltozott.","Service Control Manager","System.String[]","1073748864","2020. 06. 30. 10:16:12","2020. 06. 30. 10:16:12","NT AUTHORITY\SYSTEM",,
"105","DESKTOP-QTDVJG2","System.Byte[]","83502","(100)","100","Information","A(z) ?Microsoft-Windows-Kernel-Power? forr?s ?105? esem?nyazonos?t?j?nak le?r?sa nem tal?lhat?. A helyi sz?m?t?g?p nem rendelkezik a megfelel? be?ll?t?sjegyz?kbeli adatokkal vagy az ?zenet megjelen?t?s?hez sz?ks?ges ?zenett?rol? DLL-f?jlokkal, vagy az enged?lyek nem megfelel?ek azok el?r?s?hez. Az esem?nynek r?sze a k?vetkez? inform?ci?:'true', '13120', '32412'","Microsoft-Windows-Kernel-Power","System.String[]","105","2020. 06. 30. 10:14:13","2020. 06. 30. 10:14:13","NT AUTHORITY\SYSTEM",,
"7","DESKTOP-QTDVJG2","System.Byte[]","83501","(0)","0","Error","Hib?s blokk az eszk?z?n (\Device\Harddisk1\DR1).","disk","System.String[]","3221487623","2020. 06. 30. 10:02:02","2020. 06. 30. 10:02:02",,,
"7","DESKTOP-QTDVJG2","System.Byte[]","83500","(0)","0","Error","Hib?s blokk az eszk?z?n (\Device\Harddisk1\DR1).","disk","System.String[]","3221487623","2020. 06. 30. 10:02:02","2020. 06. 30. 10:02:02",,,
"7","DESKTOP-QTDVJG2","System.Byte[]","83499","(0)","0","Error","Hib?s blokk az eszk?z?n (\Device\Harddisk1\DR1).","disk","System.String[]","3221487623","2020. 06. 30. 10:02:01","2020. 06. 30. 10:02:01",,,
"7","DESKTOP-QTDVJG2","System.Byte[]","83498","(0)","0","Error","Hib?s blokk az eszk?z?n (\Device\Harddisk1\DR1).","disk","System.String[]","3221487623","2020. 06. 30. 10:02:00","2020. 06. 30. 10:02:00",,,
"7","DESKTOP-QTDVJG2","System.Byte[]","83497","(0)","0","Error","Hib?s blokk az eszk?z?n (\Device\Harddisk1\DR1).","disk","System.String[]","3221487623","2020. 06. 30. 10:02:00","2020. 06. 30. 10:02:00",,,
"7","DESKTOP-QTDVJG2","System.Byte[]","83496","(0)","0","Error","Hib?s blokk az eszk?z?n (\Device\Harddisk1\DR1).","disk","System.String[]","3221487623","2020. 06. 30. 10:02:00","2020. 06. 30. 10:02:00",,,
